datetime, temperature [C], salinity [psu], sound speed velocity [m/s]
2020-01-21 14:35:23,29.36,0.00,1507.807
2020-01-21 14:35:24,29.36,0.00,1507.809
2020-01-21 14:35:25,29.36,0.00,1507.814
2020-01-21 14:35:26,29.36,0.00,1507.814
2020-01-21 14:35:27,29.36,0.00,1507.819
2020-01-21 14:35:28,29.36,0.00,1507.823
2020-01-21 14:35:29,29.36,0.00,1507.823
2020-01-21 14:35:30,29.36,0.00,1507.823
2020-01-21 14:35:31,29.36,0.00,1507.823
2020-01-21 14:35:32,29.36,0.00,1507.826
2020-01-21 14:35:33,29.36,0.00,1507.830
2020-01-21 14:35:34,29.36,0.00,1507.830
2020-01-21 14:35:35,29.36,0.00,1507.830
2020-01-21 14:35:36,29.36,0.00,1507.830
2020-01-21 14:35:37,29.36,0.00,1507.830
2020-01-21 14:35:38,29.36,0.00,1507.826
2020-01-21 14:35:39,29.36,0.00,1507.826
2020-01-21 14:35:40,29.36,0.00,1507.826
2020-01-21 14:35:41,29.36,0.00,1507.826
2020-01-21 14:35:42,29.36,0.00,1507.830
2020-01-21 14:35:43,29.36,0.00,1507.830
2020-01-21 14:35:44,29.37,0.00,1507.835
2020-01-21 14:35:45,29.37,0.00,1507.835
2020-01-21 14:35:46,29.37,0.00,1507.837
2020-01-21 14:35:47,29.37,0.00,1507.842
2020-01-21 14:35:48,29.37,0.00,1507.847
2020-01-21 14:35:49,29.37,0.00,1507.847
2020-01-21 14:35:50,29.37,0.00,1507.849
2020-01-21 14:35:51,29.38,0.00,1507.849
2020-01-21 14:35:52,29.38,0.00,1507.854
2020-01-21 14:35:53,29.38,0.00,1507.859
2020-01-21 14:35:54,29.38,0.00,1507.861
2020-01-21 14:35:55,29.38,0.00,1507.861
2020-01-21 14:35:56,29.38,0.00,1507.866
2020-01-21 14:35:57,29.38,0.00,1507.870
2020-01-21 14:35:58,29.38,0.00,1507.873
2020-01-21 14:35:59,29.39,0.00,1507.873
2020-01-21 14:36:00,29.39,0.00,1507.873
2020-01-21 14:36:01,29.39,0.00,1507.882
2020-01-21 14:36:02,29.39,0.00,1507.882
2020-01-21 14:36:03,29.39,0.00,1507.882
2020-01-21 14:36:04,29.39,0.00,1507.884
2020-01-21 14:36:05,29.39,0.00,1507.884
2020-01-21 14:36:06,29.39,0.00,1507.889
2020-01-21 14:36:07,29.39,0.00,1507.894
2020-01-21 14:36:08,29.39,0.00,1507.894
2020-01-21 14:36:09,29.39,0.00,1507.894
2020-01-21 14:36:10,29.39,0.00,1507.896
2020-01-21 14:36:11,29.39,0.00,1507.896
2020-01-21 14:36:12,29.39,0.00,1507.901
2020-01-21 14:36:13,29.40,0.00,1507.906
2020-01-21 14:36:14,29.40,0.00,1507.906
2020-01-21 14:36:15,29.40,0.00,1507.908
2020-01-21 14:36:16,29.40,0.00,1507.908
2020-01-21 14:36:17,29.40,0.00,1507.913
2020-01-21 14:36:18,29.40,0.00,1507.917
2020-01-21 14:36:19,29.40,0.00,1507.917
2020-01-21 14:36:20,29.40,0.00,1507.917
2020-01-21 14:36:21,29.40,0.00,1507.917
2020-01-21 14:36:22,29.40,0.00,1507.920
2020-01-21 14:36:23,29.40,0.00,1507.920
2020-01-21 14:36:24,29.40,0.00,1507.920
2020-01-21 14:36:25,29.40,0.00,1507.920
2020-01-21 14:36:26,29.40,0.00,1507.924
2020-01-21 14:36:27,29.41,0.00,1507.924
2020-01-21 14:36:28,29.40,0.00,1507.924
2020-01-21 14:36:29,29.41,0.00,1507.924
2020-01-21 14:36:30,29.41,0.00,1507.929
2020-01-21 14:36:31,29.41,0.00,1507.929
2020-01-21 14:36:32,29.41,0.00,1507.929
2020-01-21 14:36:33,29.41,0.00,1507.931
2020-01-21 14:36:34,29.41,0.00,1507.931
2020-01-21 14:36:35,29.41,0.00,1507.931
2020-01-21 14:36:36,29.41,0.00,1507.941
2020-01-21 14:36:37,29.41,0.00,1507.941
2020-01-21 14:36:38,29.41,0.00,1507.943
2020-01-21 14:36:39,29.42,0.00,1507.943
2020-01-21 14:36:40,29.42,0.00,1507.948
2020-01-21 14:36:41,29.42,0.00,1507.955
2020-01-21 14:36:42,29.42,0.00,1507.955
2020-01-21 14:36:43,29.42,0.00,1507.960
2020-01-21 14:36:44,29.42,0.00,1507.960
2020-01-21 14:36:45,29.42,0.00,1507.964
2020-01-21 14:36:46,29.42,0.00,1507.964
2020-01-21 14:36:47,29.42,0.00,1507.967
2020-01-21 14:36:48,29.43,0.00,1507.971
2020-01-21 14:36:49,29.43,0.00,1507.971
2020-01-21 14:36:50,29.43,0.00,1507.976
2020-01-21 14:36:51,29.43,0.00,1507.978
2020-01-21 14:36:52,29.43,0.00,1507.983
2020-01-21 14:36:53,29.43,0.00,1507.983
2020-01-21 14:36:54,29.43,0.00,1507.988
2020-01-21 14:36:55,29.43,0.00,1507.988
2020-01-21 14:36:56,29.43,0.00,1507.988
2020-01-21 14:36:57,29.43,0.00,1507.990
2020-01-21 14:36:58,29.43,0.00,1507.990
2020-01-21 14:36:59,29.43,0.00,1507.995
2020-01-21 14:37:00,29.44,0.00,1508.000
2020-01-21 14:37:01,29.44,0.00,1508.000
2020-01-21 14:37:02,29.44,0.00,1508.002
2020-01-21 14:37:03,29.44,0.00,1508.007
2020-01-21 14:37:04,29.44,0.00,1508.007
2020-01-21 14:37:05,29.44,0.00,1508.007
2020-01-21 14:37:06,29.44,0.00,1508.011
2020-01-21 14:37:07,29.45,0.00,1508.016
2020-01-21 14:37:08,29.44,0.00,1508.018
2020-01-21 14:37:09,29.45,0.00,1508.018
2020-01-21 14:37:10,29.45,0.00,1508.023
2020-01-21 14:37:11,29.45,0.00,1508.023
2020-01-21 14:37:12,29.45,0.00,1508.028
2020-01-21 14:37:13,29.45,0.00,1508.028
2020-01-21 14:37:14,29.45,0.00,1508.030
2020-01-21 14:37:15,29.45,0.00,1508.030
2020-01-21 14:37:16,29.45,0.00,1508.030
2020-01-21 14:37:17,29.45,0.00,1508.030
2020-01-21 14:37:18,29.45,0.00,1508.030
2020-01-21 14:37:19,29.45,0.00,1508.035
2020-01-21 14:37:20,29.45,0.00,1508.035
2020-01-21 14:37:21,29.45,0.00,1508.039
2020-01-21 14:37:22,29.45,0.00,1508.039
2020-01-21 14:37:23,29.45,0.00,1508.042
2020-01-21 14:37:24,29.45,0.00,1508.042
2020-01-21 14:37:25,29.45,0.00,1508.046
2020-01-21 14:37:26,29.46,0.00,1508.046
2020-01-21 14:37:27,29.46,0.00,1508.046
2020-01-21 14:37:28,29.46,0.00,1508.051
2020-01-21 14:37:29,29.46,0.00,1508.054
2020-01-21 14:37:30,29.46,0.00,1508.058
2020-01-21 14:37:31,29.46,0.00,1508.063
2020-01-21 14:37:32,29.46,0.00,1508.063
2020-01-21 14:37:33,29.46,0.00,1508.065
2020-01-21 14:37:34,29.47,0.00,1508.070
2020-01-21 14:37:35,29.47,0.00,1508.070
2020-01-21 14:37:36,29.47,0.00,1508.075
2020-01-21 14:37:37,29.47,0.00,1508.077
2020-01-21 14:37:38,29.47,0.00,1508.082
2020-01-21 14:37:39,29.47,0.00,1508.082
2020-01-21 14:37:40,29.47,0.00,1508.082
2020-01-21 14:37:41,29.47,0.00,1508.086
2020-01-21 14:37:42,29.47,0.00,1508.086
2020-01-21 14:37:43,29.48,0.00,1508.089
2020-01-21 14:37:44,29.48,0.00,1508.089
2020-01-21 14:37:45,29.48,0.00,1508.093
2020-01-21 14:37:46,29.48,0.00,1508.098
2020-01-21 14:37:47,29.48,0.00,1508.098
2020-01-21 14:37:48,29.48,0.00,1508.098
2020-01-21 14:37:49,29.48,0.00,1508.098
2020-01-21 14:37:50,29.48,0.00,1508.098
2020-01-21 14:37:51,29.48,0.00,1508.098
2020-01-21 14:37:52,29.48,0.00,1508.100
2020-01-21 14:37:53,29.48,0.00,1508.100
2020-01-21 14:37:54,29.48,0.00,1508.105
2020-01-21 14:37:55,29.48,0.00,1508.110
2020-01-21 14:37:56,29.48,0.00,1508.110
2020-01-21 14:37:57,29.48,0.00,1508.110
2020-01-21 14:37:58,29.48,0.00,1508.110
2020-01-21 14:37:59,29.48,0.00,1508.112
2020-01-21 14:38:00,29.48,0.00,1508.112
2020-01-21 14:38:01,29.49,0.00,1508.117
2020-01-21 14:38:02,29.49,0.00,1508.117
2020-01-21 14:38:03,29.49,0.00,1508.122
2020-01-21 14:38:04,29.49,0.00,1508.122
2020-01-21 14:38:05,29.49,0.00,1508.124
2020-01-21 14:38:06,29.49,0.00,1508.124
2020-01-21 14:38:07,29.49,0.00,1508.129
2020-01-21 14:38:08,29.49,0.00,1508.129
2020-01-21 14:38:09,29.49,0.00,1508.133
2020-01-21 14:38:10,29.50,0.00,1508.133
2020-01-21 14:38:11,29.50,0.00,1508.136
2020-01-21 14:38:12,29.50,0.00,1508.140
2020-01-21 14:38:13,29.50,0.00,1508.140
2020-01-21 14:38:14,29.50,0.00,1508.145
2020-01-21 14:38:15,29.50,0.00,1508.145
2020-01-21 14:38:16,29.50,0.00,1508.147
2020-01-21 14:38:17,29.50,0.00,1508.147
2020-01-21 14:38:18,29.50,0.00,1508.147
2020-01-21 14:38:19,29.50,0.00,1508.152
2020-01-21 14:38:20,29.50,0.00,1508.152
2020-01-21 14:38:21,29.50,0.00,1508.152
2020-01-21 14:38:22,29.50,0.00,1508.157
2020-01-21 14:38:23,29.50,0.00,1508.157
2020-01-21 14:38:24,29.50,0.00,1508.157
2020-01-21 14:38:25,29.50,0.00,1508.157
2020-01-21 14:38:26,29.50,0.00,1508.159
2020-01-21 14:38:27,29.50,0.00,1508.159
2020-01-21 14:38:28,29.50,0.00,1508.159
2020-01-21 14:38:29,29.50,0.00,1508.164
2020-01-21 14:38:30,29.51,0.00,1508.164
2020-01-21 14:38:31,29.50,0.00,1508.164
2020-01-21 14:38:32,29.51,0.00,1508.164
2020-01-21 14:38:33,29.50,0.00,1508.164
2020-01-21 14:38:34,29.50,0.00,1508.164
2020-01-21 14:38:35,29.50,0.00,1508.164
2020-01-21 14:38:36,29.50,0.00,1508.159
2020-01-21 14:38:37,29.50,0.00,1508.159
2020-01-21 14:38:38,29.50,0.00,1508.159
2020-01-21 14:38:39,29.50,0.00,1508.159
2020-01-21 14:38:40,29.50,0.00,1508.159
2020-01-21 14:38:41,29.50,0.00,1508.164
2020-01-21 14:38:42,29.51,0.00,1508.164
2020-01-21 14:38:43,29.51,0.00,1508.164
2020-01-21 14:38:44,29.51,0.00,1508.168
2020-01-21 14:38:45,29.51,0.00,1508.173
2020-01-21 14:38:46,29.51,0.00,1508.175
2020-01-21 14:38:47,29.51,0.00,1508.175
2020-01-21 14:38:48,29.51,0.00,1508.180
